COUNTY	CITY	CITY_UPPER
SAN FRANCISCO	San Francisco	SAN FRANCISCO
SAN MATEO	Daly City	DALY CITY
SAN MATEO	San Mateo	SAN MATEO
SAN MATEO	Redwood City	REDWOOD CITY
SAN MATEO	South San Francisco	SOUTH SAN FRANCISCO
SAN MATEO	San Bruno	SAN BRUNO
SAN MATEO	Pacifica	PACIFICA
SAN MATEO	Menlo Park	MENLO PARK
SAN MATEO	Foster City	FOSTER CITY
SAN MATEO	Burlingame	BURLINGAME
SAN MATEO	San Carlos	SAN CARLOS
SAN MATEO	East Palo Alto	EAST PALO ALTO
SAN MATEO	Belmont	BELMONT
SAN MATEO	Millbrae	MILLBRAE
SAN MATEO	North Fair Oaks	NORTH FAIR OAKS
SAN MATEO	Half Moon Bay	HALF MOON BAY
SAN MATEO	Hillsborough	HILLSBOROUGH
SAN MATEO	Atherton	ATHERTON
SAN MATEO	El Granada	EL GRANADA
SAN MATEO	Woodside	WOODSIDE
SAN MATEO	Portola Valley	PORTOLA VALLEY
SAN MATEO	Brisbane	BRISBANE
SAN MATEO	Emerald Lake Hills	EMERALD LAKE HILLS
SAN MATEO	Broadmoor	BROADMOOR
SAN MATEO	Highlands-baywood Park	HIGHLANDS-BAYWOOD PARK
SAN MATEO	West Menlo Park	WEST MENLO PARK
SAN MATEO	Moss Beach	MOSS BEACH
SAN MATEO	Montara	MONTARA
SAN MATEO	Colma	COLMA
SAN MATEO	Ladera	LADERA
SAN MATEO	La Honda	LA HONDA
SAN MATEO	Pescadero	PESCADERO
SAN MATEO	Loma Mar	LOMA MAR
ALAMEDA	Oakland	OAKLAND
ALAMEDA	Fremont	FREMONT
ALAMEDA	Hayward	HAYWARD
ALAMEDA	Berkeley	BERKELEY
ALAMEDA	San Leandro	SAN LEANDRO
ALAMEDA	Livermore	LIVERMORE
ALAMEDA	Alameda	ALAMEDA
ALAMEDA	Pleasanton	PLEASANTON
ALAMEDA	Union City	UNION CITY
ALAMEDA	Castro Valley	CASTRO VALLEY
ALAMEDA	Dublin	DUBLIN
ALAMEDA	Newark	NEWARK
ALAMEDA	San Lorenzo	SAN LORENZO
ALAMEDA	Ashland	ASHLAND
ALAMEDA	Albany	ALBANY
ALAMEDA	Cherryland	CHERRYLAND
ALAMEDA	Piedmont	PIEDMONT
ALAMEDA	Emeryville	EMERYVILLE
ALAMEDA	Fairview	FAIRVIEW
ALAMEDA	Sunol	SUNOL
SANTA CLARA	San Jose	SAN JOSE
SANTA CLARA	Sunnyvale	SUNNYVALE
SANTA CLARA	Santa Clara	SANTA CLARA
SANTA CLARA	Mountain View	MOUNTAIN VIEW
SANTA CLARA	Milpitas	MILPITAS
SANTA CLARA	Palo Alto	PALO ALTO
SANTA CLARA	Cupertino	CUPERTINO
SANTA CLARA	Gilroy	GILROY
SANTA CLARA	Campbell	CAMPBELL
SANTA CLARA	Morgan Hill	MORGAN HILL
SANTA CLARA	Saratoga	SARATOGA
SANTA CLARA	Los Gatos	LOS GATOS
SANTA CLARA	Los Altos	LOS ALTOS
SANTA CLARA	Alum Rock	ALUM ROCK
SANTA CLARA	Stanford	STANFORD
SANTA CLARA	East Foothills	EAST FOOTHILLS
SANTA CLARA	Los Altos Hills	LOS ALTOS HILLS
SANTA CLARA	San Martin	SAN MARTIN
SANTA CLARA	Burbank	BURBANK
SANTA CLARA	Monte Sereno	MONTE SERENO
SANTA CLARA	Cambrian Park	CAMBRIAN PARK
SANTA CLARA	Loyola	LOYOLA
SANTA CLARA	Lexington Hills	LEXINGTON HILLS
SANTA CLARA	Fruitdale	FRUITDALE
